identifier;location;series;inscription;original
KN Ak 5893+;KN;Ak;me-zo-e , ;]wa me-zo-e[ ](wo)[ inf. mut.
KN Ak 5907;KN;Ak;me-wi-jo-e , ;](de) MUL 2 pa di 1 ](wa) me-wi-jo-e 5 inf. mut.
KN Ak 5918;KN;Ak;(ta)-jo-jo , (me)-zo-e , ;](ta)-jo-jo[ ](me)-zo-e [
KN Ak 5926+;KN;Ak;(me)-zo-e , ko-wo , me-(wi) , ;] MUL [ ] ne di 1 ](me)-zo-e 3 ] ko-wo / me-(wi)[
KN Ak 5940+;KN;Ak;ko-wa , me-wi-jo , ;]8 ne di 1 ]ko-wa , / me-wi-jo 2 inf. mut.
KN Ak 5948;KN;Ak;;]de MUL 1 pa di[ ] vacat [
KN Ak;KN;Ak;ko-wo , ;](3) zo[ ]ko-wo[
KN Ak 7001;KN;Ak;(ke)-ti-ri-ja , (wi)-jo-e , ko-wa , ;](ke)-ti-ri-ja , MUL 1[ ](wi)-jo-e 4 ko-wa [ ] vacat [
KN Ak 7002;KN;Ak;me-zo-e , ko-wo , ;](2)6 (ko)[ ] me-zo-e 9 ko-wo (me)[ ] vacat [ ] vacat[
KN Ak 7003;KN;Ak;;]MUL 2 ]e 9 ](e) 9
KN Ak 7005;KN;Ak;di-(da) , (ka)-re , ko-(wa) , ko-(wo) , ;](84) di-(da)[ ](ka)-re , ne 5 ko-(wa)[ ](RE) , ne 3 ko-(wo)[
KN Ak 7006;KN;Ak;;](ja) MUL 18[
KN Ak 7007;KN;Ak;ko-wo , ;sup. mut. ] vacat [ ] ko-wo [
KN Ak 7008;KN;Ak;ko-(wo) , ;](wa) 2 ko-(wo)[
KN Ak 7009;KN;Ak;me-zo , (me)-u-jo-e , ;]wa , me-zo[ ](me)-u-jo-e 4[
KN Ak 7010;KN;Ak;(zo)-e , me-u-jo-e , ;](zo)-e 3[ ] me-u-jo-e (1)[
KN Ak 7012;KN;Ak;(jo)-e , ;sup. mut. ] 4[ ](jo)-e 4 [
KN Ak 7013;KN;Ak;ko-wa , ko-wo , ;sup. mut. ] ko-wa (me)[ ] ko-wo (me)[
KN Ak 7015;KN;Ak;ko-wa , ;sup. mut. ]ko-wa (1)[
KN Ak 7016;KN;Ak;ko-wo , ;]ko-wo 3 inf. mut.
KN Ak 7018;KN;Ak;ko-wo , ;]wa 6 ko-wo 3 ] vacat
KN Ak 7019;KN;Ak;ko-wa , ;]4 ko-wa , 4[ inf. mut.
KN Ak 7020;KN;Ak;me-u-(jo) , (me)-u-jo , ;sup. mut. ] vacat [ ](wa) me-u-(jo)[ ](me)-u-jo[
KN Ak 7021;KN;Ak;ko-(wo) , ;] MUL [ ] ko-(wo)[
KN Ak 7022+;KN;Ak;]-ki , ko-wa , me-zo-(e) , ko-wa , ko-(wo) , ko-wo , me-(wi)-jo-e , e-ra , ;]-ki 'DA [ ]' TA 2 MUL[ ] 2[ ] ko-wa me-zo-(e) (10) [ ] ko-wa me[ ]ko-(wo) , me[ ] ko-wo me-(wi)-jo-e 1(2)[ ]e-ra (MUL)[
KN Ak 7028;KN;Ak;;sup. mut. ]e 5 [ ]e 3 [
